url,projname,price,xzarea,area,position
https://guangzhou.anjuke.com/prop/view/A1136010391?from=filter-salesxq&spread=commsearch_p&position=87&kwtype=filter&now_time=1520404662,祈福新邨绿怡居,30882,广州区域,番禺,祈福
https://guangzhou.anjuke.com/prop/view/A1127717687?from=filter&spread=commsearch_p&position=82&kwtype=filter&now_time=1520404662,时代南湾,21111,广州区域,南沙,明珠湾
https://guangzhou.anjuke.com/prop/view/A1135862272?from=filter&spread=commsearch_p&position=78&kwtype=filter&now_time=1520404662,景秀南湾公馆,6250,广州区域,广州周边,佛山
https://guangzhou.anjuke.com/prop/view/A1126156405?from=filter&spread=commsearch_p&position=64&kwtype=filter&now_time=1520404662,共和二路小区,62745,广州区域,越秀,杨箕
https://guangzhou.anjuke.com/prop/view/A1122225329?from=filter&spread=commsearch_p&position=105&kwtype=filter&now_time=1520404662,时代倾城,9024,广州区域,广州周边,清远
https://guangzhou.anjuke.com/prop/view/A1138108855?from=filter&spread=commsearch_p&position=68&kwtype=filter&now_time=1520404662,领会国际公寓,9210,广州区域,番禺,市桥
https://guangzhou.anjuke.com/prop/view/A1138520096?from=filter&spread=commsearch_p&position=63&kwtype=filter&now_time=1520404662,碧云轩,13552,广州区域,花都,新区
https://guangzhou.anjuke.com/prop/view/A1118119560?from=filter&spread=commsearch_p&position=73&kwtype=filter&now_time=1520404662,宏丰公寓,11665,广州区域,荔湾,环市西路
https://guangzhou.anjuke.com/prop/view/A1124587595?from=filter-saleMetro&spread=commsearch_p&position=69&kwtype=filter&now_time=1520404662,吉兴大厦,30263,广州区域,白云,机场路
https://guangzhou.anjuke.com/prop/view/A1135908593?from=filter&spread=commsearch_p&position=89&kwtype=filter&now_time=1520404662,雍翠新城,7742,广州区域,广州周边,佛山
https://guangzhou.anjuke.com/prop/view/A1123233782?from=filter-saleMetro&spread=commsearch_p&position=93&kwtype=filter&now_time=1520404662,东海花园,37500,广州区域,番禺,洛溪
https://guangzhou.anjuke.com/prop/view/A1133495543?from=filter&spread=commsearch_p&position=79&kwtype=filter&now_time=1520404662,花都万达城,23913,广州区域,花都,新区
https://guangzhou.anjuke.com/prop/view/A1138786551?from=filter-salesxq&spread=commsearch_p&position=118&kwtype=filter&now_time=1520404662,广州富力城,26250,广州区域,白云,江高
https://guangzhou.anjuke.com/prop/view/A1129966043?from=filter&spread=commsearch_p&position=97&kwtype=filter&now_time=1520404662,时代南湾,23913,广州区域,南沙,明珠湾
https://guangzhou.anjuke.com/prop/view/A1127498810?from=filter&spread=commsearch_p&position=70&kwtype=filter&now_time=1520404662,星河湾三期(荟心园),38028,广州区域,番禺,星河湾
https://guangzhou.anjuke.com/prop/view/A1123050123?from=filter-saleMetro-salesxq&spread=commsearch_p&position=74&kwtype=filter&now_time=1520404662,宝华豪庭,54166,广州区域,荔湾,西关
https://guangzhou.anjuke.com/prop/view/A1135408619?from=filter-saleMetro&spread=commsearch_p&position=65&kwtype=filter&now_time=1520404662,广纸路大院,23768,广州区域,海珠,工业大道南
https://guangzhou.anjuke.com/prop/view/A1133199516?from=filter-saleMetro&spread=commsearch_p&position=116&kwtype=filter&now_time=1520404662,白云畔山花园,27450,广州区域,白云,京溪
https://guangzhou.anjuke.com/prop/view/A1101407048?from=filter-salesxq&spread=commsearch_p&position=103&kwtype=filter&now_time=1520404662,东晋丽苑,23541,广州区域,天河,岑村
https://guangzhou.anjuke.com/prop/view/A1075977971?from=filter&spread=commsearch_p&position=107&kwtype=filter&now_time=1520404662,盘福路139号,38571,广州区域,越秀,西门口
https://guangzhou.anjuke.com/prop/view/A1136931294?from=filter&spread=commsearch_p&position=80&kwtype=filter&now_time=1520404662,汇侨新城南区,25000,广州区域,白云,新市
https://guangzhou.anjuke.com/prop/view/A1130353036?from=filter&spread=commsearch_p&position=84&kwtype=filter&now_time=1520404662,保利桃花源,11000,广州区域,从化,温泉
https://guangzhou.anjuke.com/prop/view/A1137198628?from=filter-salesxq&spread=commsearch_p&position=83&kwtype=filter&now_time=1520404662,南航新村,25581,广州区域,白云,新市
https://guangzhou.anjuke.com/prop/view/A1126891364?from=filter-saleMetro&spread=commsearch_p&position=90&kwtype=filter&now_time=1520404662,元邦明月星辉,50000,广州区域,荔湾,西关
https://guangzhou.anjuke.com/prop/view/A1132361486?from=filter&spread=commsearch_p&position=115&kwtype=filter&now_time=1520404662,银海花园,17857,广州区域,广州周边,佛山
https://guangzhou.anjuke.com/prop/view/A1136926534?from=filter&spread=commsearch_p&position=86&kwtype=filter&now_time=1520404662,荔城碧桂园(别墅),24328,广州区域,增城,荔城中区
https://guangzhou.anjuke.com/prop/view/A1136929176?from=filter-saleMetro&spread=commsearch_p&position=95&kwtype=filter&now_time=1520404662,新世界凯粤湾,44565,广州区域,荔湾,滘口
https://guangzhou.anjuke.com/prop/view/A1135017655?from=filter&spread=commsearch_p&position=61&kwtype=filter&now_time=1520404662,天河星作,37209,广州区域,天河,天河智慧城
https://guangzhou.anjuke.com/prop/view/A1084338315?from=filter&spread=commsearch_p&position=92&kwtype=filter&now_time=1520404662,狮城国际,12626,广州区域,花都,狮岭
https://guangzhou.anjuke.com/prop/view/A1128820250?from=filter&spread=commsearch_p&position=110&kwtype=filter&now_time=1520404662,金龙城财富广场,18043,广州区域,番禺,石基
https://guangzhou.anjuke.com/prop/view/A1106564452?from=filter&spread=commsearch_p&position=177&kwtype=filter&now_time=1520404656,美业阁,15529,广州区域,增城,新塘
https://guangzhou.anjuke.com/prop/view/A1136313579?from=filter&spread=commsearch_p&position=166&kwtype=filter&now_time=1520404656,云溪四季,17176,广州区域,增城,朱村
https://guangzhou.anjuke.com/prop/view/A1110409362?from=filter-saleMetro&spread=commsearch_p&position=133&kwtype=filter&now_time=1520404656,侨兴苑,41509,广州区域,天河,岗顶
https://guangzhou.anjuke.com/prop/view/A1122202275?from=filter&spread=commsearch_p&position=175&kwtype=filter&now_time=1520404656,汇侨新城北区,30634,广州区域,白云,新市
https://guangzhou.anjuke.com/prop/view/A1138786551?from=filter-salesxq&spread=commsearch_p&position=140&kwtype=filter&now_time=1520404656,广州富力城,26250,广州区域,白云,江高
